post_id,title,category,score,num_comments,author,collected_at
47936264,Warp is now open-source,worldnews,371,118,meetpateltech,2026-05-03 12:59:41
47977450,Flock cameras keep telling police a man who doesn't have a warrant has a warrant,worldnews,190,143,johnbarron,2026-05-03 12:59:41
47901433,Fully Featured Audio DSP Firmware for the Raspberry Pi Pico,worldnews,327,92,BoingBoomTschak,2026-05-03 12:59:41
47981979,A physics engine with incremental rollback for multiplayer games,sports,78,26,BSTRhino,2026-05-03 12:59:41
47987079,Stackless coroutines for gamedev in ~200 lines of C++,sports,13,0,tzury,2026-05-03 12:59:41
47954074,Show HN: SimDrive – a browser racing game with your phone as the controller:D,sports,18,9,1000xcat,2026-05-03 12:59:41
47965503,I built a Game Boy emulator in F#,sports,341,76,elvis70,2026-05-03 12:59:41
47985271,GameStop Preparing Offer for eBay,sports,82,62,voisin,2026-05-03 12:59:41
47947834,Improving ICU handovers by learning from Scuderia Ferrari F1 team,sports,66,56,embedding-shape,2026-05-03 12:59:41
47985742,"GameStop is looking to buy eBay, report says. Both stocks are soaring",sports,5,0,OrvalWintermute,2026-05-03 12:59:41
47945522,Tell HN: An update from the new Tindie team,sports,80,49,altairprime,2026-05-03 12:59:41
47940389,I won a championship that doesn't exist,sports,232,128,SEJeff,2026-05-03 12:59:41
47904053,Adding a team was the wrong strategic decision,sports,80,27,milkglass,2026-05-03 12:59:41
47900398,Martin Galway's music source files from 1980's Commodore 64 games,sports,198,29,ingve,2026-05-03 12:59:41
47910877,Lessons from building multiplayer browsers,sports,55,18,alejandrohacks,2026-05-03 12:59:41
47976125,Using group theory to explore the space of positional encodings for attention,science,25,0,jxmorris12,2026-05-03 12:59:41
47977748,New research suggests people can communicate and practice skills while dreaming,science,445,260,XzetaU8,2026-05-03 12:59:41
47957714,Biology is a Burrito: A text- and visual-based journey through a living cell,science,210,31,the-mitr,2026-05-03 12:59:41
47934261,Show HN: Live Sun and Moon Dashboard with NASA Footage,science,222,68,beeswaxpat,2026-05-03 12:59:41
47973547,"SpaceX rocket set for unintentional moon landing – well, a piece of it anyway",science,61,59,beardyw,2026-05-03 12:59:41
47970023,"$500M for Virtual Biology Initiative, Funded by Zuckerbergs",science,37,25,warbaker,2026-05-03 12:59:41
47990708,"Show HN: State of the Art of Coding Models, According to Hacker News Commenters",entertainment,94,49,yunusabd,2026-05-03 12:59:41
47988261,Roblox shares plummet 18% as child safety measures weigh on bookings,entertainment,229,136,1vuio0pswjnm7,2026-05-03 12:59:41
47961935,"Show HN: Pollen – distributed WASM runtime, no control plane, single binary",entertainment,115,54,sambigeara,2026-05-03 12:59:41
47989164,"Show HN: Rust library for Undo/Redo using deltas, snapshots or commands",entertainment,17,3,mikolajw,2026-05-03 12:59:41
47967672,Chinese EVs Can Now Project Movies from Their Headlights,entertainment,47,28,mooreds,2026-05-03 12:59:41
47991183,"Meta faces New Mexico trial that could force change to Facebook, other platforms",entertainment,26,0,1659447091,2026-05-03 12:59:41
47985210,Show HN: Piruetas – A self-hosted diary app I built for my girlfriend,entertainment,61,48,patillacode,2026-05-03 12:59:41
47984614,Show HN: Large Scale Article Extract of Newspapers 1730s-1960s,entertainment,46,18,brettnbutter,2026-05-03 12:59:41
